$vars: qsquared (GeV^2) & w (GeV) & costhkcm & epsilon & diff_t+l


0.473       1.844      0.9761       0.781       0.107       0.007
0.473       1.844      0.9349       0.781       0.101       0.006
0.470       1.849      0.8435       0.779       0.106       0.006
0.465       1.859      0.7090       0.776       0.127       0.009
0.487       1.816      0.9704       0.789       0.080       0.005
0.486       1.819      0.9322       0.789       0.082       0.005
0.481       1.827      0.8416       0.787       0.101       0.006
0.478       1.835      0.7058       0.784       0.094       0.006
0.365       1.914      0.9797       0.762       0.133       0.007
0.364       1.917      0.9355       0.761       0.132       0.007
0.365       1.921      0.8365       0.758       0.130       0.008


# observable  Q^2     W(GeV)  thk(deg)  epsilon  Xsection  error

# Results published in table 5.8 of
# J. Cha's Ph.D. thesis (2000)
