$vars: qsquared (GeV^2) & w (GeV) & costhkcm & transf_pol_z -sysErr & transf_pol_x -sysErr
$const: E_beam 5.754 (GeV)


2.500       1.830      0.1910      1.3643      0.3103      0.1277     -0.0816      0.2983      0.1121
2.500       1.973      0.3190      0.0996      0.2955      0.1121     -0.1998      0.2891      0.1124
2.500       2.114      0.4177      1.0760      0.3940      0.1220     -0.1876      0.3778      0.1123
2.500       2.265      0.4933      0.1279      0.3519      0.1121     -0.2722      0.3475      0.1127
2.500       2.465      0.5453      0.3263      0.3611      0.1130     -0.6034      0.3644      0.1152
1.640       2.090      0.3570      1.4158      0.4720      0.1289     -0.6302      0.4611      0.1155
1.990       2.090      0.3570      1.2216      0.3729      0.1248     -0.3653      0.3644      0.1132
2.310       2.090      0.3570      0.8106      0.3348      0.1178     -0.0492      0.3287      0.1120
2.770       2.090      0.3570      0.2312      0.2889      0.1125     -0.6016      0.2810      0.1152
3.740       2.090      0.3570      0.0417      0.2461      0.1120     -0.0680      0.2406      0.1120
2.500       2.100      0.9400      0.2402      0.3053      0.1125     -0.2759      0.2914      0.1127
2.500       2.100      0.7880      0.0974      0.3051      0.1121     -0.5768      0.3060      0.1150
2.500       2.100      0.6020      1.0190      0.3308      0.1210     -0.5368      0.3222      0.1146
2.500       2.100      0.3160      0.6506      0.3075      0.1158     -0.0691      0.3031      0.1120
2.500       2.100     -0.3290      0.7215      0.3360      0.1166     -0.2578      0.3265      0.1126


# Extra info:
#  - Systematic uncertainties are given by 
#    0.112 added in quadrature to 0.045*P'_Sigma.
#  - these data were sent to us by D.Carman on Dec,22 2009

# Results published in:
# Carman et al.
# Beam-recoil polarization transfer in the nucleon resonance region in
# the exclusive ep->e'K+L and ep->e'KS0 reactions at the CLAS spectrometer
# Phys.Rev.C 79, 065205 (2009)


